coin,timestamp,price,volume_24h,price_change_24h,high_24h,low_24h,spread,volatility_7d,momentum_3d,momentum_7d,volume_trend_7d,price_vs_sma20,market_activity,price_volatility,liquidity_score,sentiment_numeric,whale_detected_numeric,whale_score
BNC,2025-08-11T07:53:35.595316,0.1092,18975.87680062,-1.4440433212996389,0.1128,0.1089,0.04212454212454206,0.014440433212996389,-0.007220216606498194,-0.004332129963898916,0.1,0.0,18975.87680062,0.014440433212996389,0.985097650649623,0.5,0,1.970195301299246
BNT,2025-08-11T07:53:35.595451,0.8065,5661.79944775,0.2486016159105034,0.8261,0.7941,0.0017358958462493092,0.002486016159105034,0.001243008079552517,0.0007458048477315102,0.1,0.0,5661.79944775,0.002486016159105034,0.8641673650997911,0.5,0,1.7283347301995822
BOBA,2025-08-11T07:53:35.595595,0.0965,180493.55642949,2.0084566596194504,0.0971,0.0936,0.0020725388601035423,0.020084566596194505,0.010042283298097253,0.006025369978858351,0.18049355642949,0.0,180493.55642949,0.020084566596194505,1.0,0.5,0,2.4206911796029855
BODEN,2025-08-11T07:53:35.595731,0.002771,4084726.37491,-0.6810035842293906,0.002946,0.002737,0.027426921688921007,0.0068100358422939055,-0.0034050179211469528,-0.0020430107526881714,2.0,0.0,4084726.37491,0.0068100358422939055,1.0,0.5,0,3.0445531091922056
BOND,2025-08-11T07:53:35.595856,0.186,69363.12174355,2.649006622516556,0.1902,0.1754,0.0037634408602149378,0.02649006622516556,0.01324503311258278,0.007947019867549667,0.1,0.0,69363.12174355,0.02649006622516556,1.0,0.5,0,2.229425007011435
BONK,2025-08-11T07:53:35.595990,2.7342e-05,140816767738.9828,-1.1889704022261574,2.8569e-05,2.6299e-05,0.001,0.011889704022261574,-0.005944852011130787,-0.003566911206678472,2.0,0.0,140816767738.9828,0.011889704022261574,1.0,0.5,1,5.1341450725284385
BRICK,2025-08-11T07:53:35.596123,0.01798,368506.97658,1.4100394811054708,0.0185,0.01698,0.0033370411568407984,0.014100394811054708,0.007050197405527354,0.004230118443316412,0.36850697658000003,0.0,368506.97658,0.014100394811054708,1.0,0.5,0,2.5634435272911906
BSX,2025-08-11T07:53:35.596256,4.45e-05,92069822.12109402,2.5345622119815667,4.59e-05,4.09e-05,0.0067415730337078775,0.025345622119815666,0.012672811059907833,0.0076036866359447,2.0,0.0,92069822.12109402,0.025345622119815666,1.0,0.5,1,3.667611558825423
BTT,2025-08-11T07:53:35.596370,6.91e-07,12981640479.5555,-0.7183908045977011,6.99e-07,6.76e-07,0.0014471780028944648,0.007183908045977011,-0.0035919540229885057,-0.0021551724137931034,2.0,0.0,12981640479.5555,0.007183908045977011,1.0,0.5,1,4.657360385097444
C98,2025-08-11T07:53:35.596626,0.0561,44234.21788696,-1.7513134851138352,0.058,0.0529,0.01604278074866307,0.017513134851138354,-0.008756567425569177,-0.005253940455341506,0.1,0.0,44234.21788696,0.017513134851138354,1.0,0.5,0,2.139455307114834
CAKE,2025-08-11T07:53:35.596750,2.839,31979.48729,0.7452093683463449,2.907,2.772,0.0063402606551601955,0.007452093683463449,0.0037260468417317245,0.0022356281050390347,0.1,0.0,31979.48729,0.007452093683463449,1.0,0.5,0,2.0745762447215386
CARV,2025-08-11T07:53:35.596882,0.3388,97932.16621,5.597805759880314,0.35284,0.303,0.003955135773317615,0.055978057598803144,0.027989028799401572,0.016793417279640944,0.1,0.0,97932.16621,0.055978057598803144,1.0,0.5,0,2.298408109510265
CAT,2025-08-11T07:53:35.597012,9.583e-06,1433243245.66185,-0.2705796648974919,1.0009e-05,9.376e-06,0.002504434936867381,0.0027057966489749193,-0.0013528983244874596,-0.0008117389946924757,2.0,0.0,1433243245.66185,0.0027057966489749193,1.0,0.5,1,4.21664114356729
CCD,2025-08-11T07:53:35.597155,0.006303,4163934.00895,6.1647296614451745,0.006323,0.005857,0.005076947485324572,0.061647296614451744,0.030823648307225872,0.01849418898433552,2.0,0.0,4163934.00895,0.061647296614451744,1.0,0.5,0,3.048394220150835
CELO,2025-08-11T07:53:35.597291,0.3583,343524.32181,-1.0767531750414134,0.3694,0.3508,0.001953670108847429,0.010767531750414134,-0.005383765875207067,-0.00323025952512424,0.34352432181,0.0,343524.32181,0.010767531750414134,1.0,0.5,0,2.5494032209974504
CELR,2025-08-11T07:53:35.597406,0.00821,1420302.91645877,0.0365541610820031,0.008486,0.007955,0.005237515225335124,0.000365541610820031,0.0001827708054100155,0.0001096624832460093,1.42030291645877,0.0,1420302.91645877,0.000365541610820031,1.0,0.5,0,2.8332762864704812
CFG,2025-08-11T07:53:35.597531,0.3029,351456.06539742,0.8994003997335109,0.3113,0.2967,0.001,0.008994003997335109,0.0044970019986675545,0.0026982011992005327,0.35145606539742,0.0,351456.06539742,0.008994003997335109,1.0,0.5,0,2.5539685671931114
CHEEMS,2025-08-11T07:53:35.597642,1.3229e-06,13238264207.44108,3.222534332084894,1.3639e-06,1.2126e-06,0.03220198049739211,0.03222534332084894,0.01611267166042447,0.009667602996254682,2.0,0.0,13238264207.44108,0.03222534332084894,1.0,0.5,1,4.661275455355831
CHEX,2025-08-11T07:53:35.597754,0.118,2884616.85656,11.320754716981131,0.1235,0.1027,0.006779661016949112,0.11320754716981131,0.056603773584905655,0.03396226415094339,2.0,0.0,2884616.85656,0.11320754716981131,1.0,0.5,0,2.9749805980839072
CHILLHOUSE,2025-08-11T07:53:35.597862,0.0191,14015697.94912,5.060506050605061,0.02199,0.01752,0.001,0.050605060506050605,0.025302530253025302,0.01518151815181518,2.0,0.0,14015697.94912,0.050605060506050605,1.0,0.5,1,3.2911377225681746
CHR,2025-08-11T07:53:35.597966,0.0985,33378.44110585,0.305498981670061,0.1006,0.0947,0.0020304568527919364,0.00305498981670061,0.001527494908350305,0.000916496945010183,0.1,0.0,33378.44110585,0.00305498981670061,1.0,0.5,0,2.083139090738378
CHZ,2025-08-11T07:53:35.598073,0.04274,252046.2485916,-0.6277609858172518,0.04415,0.04212,0.0014038371548899756,0.006277609858172518,-0.003138804929086259,-0.0018832829574517555,0.25204624859159996,0.0,252046.2485916,0.006277609858172518,1.0,0.5,0,2.487474368665958
CLANKER,2025-08-11T07:53:35.598206,59.59,401.16118,0.9657743137919349,65.85,58.2,0.016781339150864237,0.00965774313791935,0.004828871568959675,0.002897322941375805,0.1,0.0,401.16118,0.00965774313791935,0.5996852953535575,0.5,0,1.199370590707115
CLOUD,2025-08-11T07:53:35.598326,0.0854,396654.41518,-2.733485193621868,0.0908,0.0852,0.0011709601873536634,0.02733485193621868,-0.01366742596810934,-0.008200455580865603,0.39665441518,0.0,396654.41518,0.02733485193621868,1.0,0.5,0,2.5781646421849738
CLV,2025-08-11T07:53:35.598435,0.02261,254318.42820603,2.819463392451114,0.02266,0.02187,0.017691287041132132,0.02819463392451114,0.01409731696225557,0.008458390177353342,0.25431842820603,0.0,254318.42820603,0.02819463392451114,1.0,0.5,0,2.489269269451466
CMETH,2025-08-11T07:53:35.598549,4520.0,0.24784528,2.61998819416065,4520.0,4520.0,0.0021681415929203944,0.0261998819416065,0.01309994097080325,0.007859964582481949,0.1,0.0,0.24784528,0.0261998819416065,0.1,0.5,0,0.04428365758056109
COMP,2025-08-11T07:53:35.598669,54.33,5966.1805691,0.2028771670970121,55.18,52.65,0.001,0.002028771670970121,0.0010143858354850605,0.0006086315012910362,0.1,0.0,5966.1805691,0.002028771670970121,0.8694029828351297,0.5,0,1.7388059656702595
COOKIE,2025-08-11T07:53:35.598787,0.16569,135095.50221,1.4449274474989284,0.16941,0.14745,0.0050697084917617685,0.014449274474989284,0.007224637237494642,0.004334782342496785,0.13509550221,0.0,135095.50221,0.014449274474989284,1.0,0.5,0,2.362748926647126
COQ,2025-08-11T07:53:35.598894,6.752e-07,106546638434.80844,3.0053394355453853,6.911e-07,6.42e-07,0.0059241706161138755,0.030053394355453854,0.015026697177726927,0.009016018306636156,2.0,0.0,106546638434.80844,0.030053394355453854,1.0,0.5,1,5.0783697291644305
CORN,2025-08-11T07:53:35.599017,0.10948,107706.72617,1.1549477963596044,0.10948,0.10391,0.007946656923638983,0.011549477963596044,0.005774738981798022,0.003464843389078813,0.10770672616999999,0.0,107706.72617,0.011549477963596044,1.0,0.5,0,2.31743531969089
COTI,2025-08-11T07:53:35.599145,0.0557,1543340.28540794,-0.5357142857142857,0.0577,0.0544,0.0017953321364451691,0.005357142857142857,-0.0026785714285714286,-0.0016071428571428571,1.5433402854079399,0.0,1543340.28540794,0.005357142857142857,1.0,0.5,0,2.8498920579826352
COW,2025-08-11T07:53:35.599266,0.4193,56618.29458,-2.0784680056048574,0.4392,0.4193,0.0016694490818029534,0.020784680056048575,-0.010392340028024288,-0.006235404016814572,0.1,0.0,56618.29458,0.020784680056048575,1.0,0.43333333333333335,0,2.188821019947963
